date,strategy,equity,cum_return,drawdown,daily_ret,gross_ret,cost_ret,is_entry_day,rebalance_date,signal_date,year,month_num,month,quarter,year_quarter,day_of_week,days_since_start
2020-11-16,BH_QQQ,13241.668498491255,0.32416684984912547,-0.03157625161479949,0.007802415570872245,0.007802415570872245,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Monday,305
2020-11-16,ML_Full_CW,17551.625805474254,0.7551625805474254,-0.05014977759614181,0.008633892517838637,0.009118269287096487,-0.00048437676925785003,True,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Monday,304
2020-11-16,ML_Full_EW,17425.539009489934,0.7425539009489934,-0.05116541897461979,0.009473907486618138,0.009958687656693365,-0.0004847801700752271,True,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Monday,304
2020-11-17,BH_Full,13190.35809295634,0.319035809295634,-0.006047478463088618,0.000915552234601158,0.000915552234601158,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Tuesday,306
2020-11-17,BH_MCap10,17411.943549182142,0.7411943549182143,-0.06856055920392634,0.01656492503807039,0.01656492503807039,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Tuesday,306
2020-11-17,BH_QQQ,13199.667835472852,0.31996678354728525,-0.03464795209722582,-0.00317185579922874,-0.00317185579922874,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Tuesday,306
2020-11-17,ML_Full_CW,17853.907244805087,0.7853907244805087,-0.03379105985915598,0.01722241817829513,0.01722241817829513,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Tuesday,305
2020-11-17,ML_Full_EW,17623.19513960527,0.7623195139605268,-0.04040288409389414,0.011342899063706939,0.011342899063706939,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Tuesday,305
2020-11-18,BH_Full,13135.453535733874,0.3135453535733874,-0.010184782599227282,-0.004162476623874589,-0.004162476623874589,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Wednesday,307
2020-11-18,BH_MCap10,17738.564861115265,0.7738564861115265,-0.05108818621582545,0.018758463752799326,0.018758463752799326,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Wednesday,307
2020-11-18,BH_QQQ,13102.118368017384,0.31021183680173836,-0.0417821905760829,-0.007390297140153268,-0.007390297140153268,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Wednesday,307
2020-11-18,ML_Full_CW,18161.529804792746,0.8161529804792746,-0.017143293990675157,0.01722998533428403,0.01722998533428403,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Wednesday,306
2020-11-18,ML_Full_EW,17800.534738399496,0.7800534738399496,-0.030746600645244815,0.0100628516786769,0.0100628516786769,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Wednesday,306
2020-11-19,BH_Full,13275.490738272312,0.3275490738272313,0.0,0.010661010079132671,0.010661010079132671,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Thursday,308
2020-11-19,BH_MCap10,17943.7841765471,0.79437841765471,-0.04011012602016406,0.011569104774743932,0.011569104774743932,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Thursday,308
2020-11-19,BH_QQQ,13204.634062705813,0.32046340627058134,-0.03428474919777069,0.007824360291132093,0.007824360291132093,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Thursday,308
2020-11-19,ML_Full_CW,18501.907161013743,0.8501907161013744,0.0,0.018741667683257305,0.018741667683257305,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Thursday,307
2020-11-19,ML_Full_EW,18137.644121107613,0.8137644121107612,-0.012390724265903819,0.01893816043519736,0.01893816043519736,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Thursday,307
2020-11-20,BH_Full,13205.676068881836,0.32056760688818353,-0.0052589143984866915,-0.0052589143984866915,-0.0052589143984866915,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Friday,309
2020-11-20,BH_MCap10,17721.693934226903,0.7721693934226903,-0.05199068435810461,-0.01237700142484277,-0.01237700142484277,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Friday,309
2020-11-20,BH_QQQ,13114.31027067363,0.31143102706736303,-0.04089054100249212,-0.006840310121678184,-0.006840310121678184,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Friday,309
2020-11-20,ML_Full_CW,18171.061858165434,0.8171061858165434,-0.017881686464487734,-0.017881686464487824,-0.017881686464487824,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Friday,308
2020-11-20,ML_Full_EW,17814.814271534215,0.7814814271534214,-0.02996906860840276,-0.017798885424028563,-0.017798885424028563,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Friday,308
2020-11-23,BH_Full,13295.430604762183,0.3295430604762184,0.0,0.006796663450790552,0.006796663450790552,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Monday,312
2020-11-23,BH_MCap10,18072.87187175938,0.807287187175938,-0.03320467228362067,0.01981627370588024,0.01981627370588024,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Monday,312
2020-11-23,BH_QQQ,13114.761875387585,0.3114761875387584,-0.04085751308535868,3.443602481834063e-05,3.443602481834063e-05,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Monday,312
2020-11-23,ML_Full_CW,18451.649573873798,0.8451649573873798,-0.0027163463043337055,0.015441459497441556,0.015441459497441556,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Monday,311
2020-11-23,ML_Full_EW,18045.931312238048,0.8045931312238048,-0.017384560297662888,0.012973306214768152,0.012973306214768152,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Monday,311
2020-11-24,BH_Full,13460.653109585908,0.3460653109585907,0.0,0.01242701419272163,0.01242701419272163,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Tuesday,313
2020-11-24,BH_MCap10,18563.875892492837,0.8563875892492836,-0.006938764103480932,0.027168013153498816,0.027168013153498816,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Tuesday,313
2020-11-24,BH_QQQ,13299.02657102524,0.3299026571025241,-0.0273813935718088,0.014050174710641405,0.014050174710641405,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Tuesday,313
2020-11-24,ML_Full_CW,18796.741363409586,0.8796741363409586,0.0,0.018702489886021512,0.018702489886021512,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Tuesday,312
2020-11-24,ML_Full_EW,18266.038567302767,0.8266038567302767,-0.005399543649039162,0.012197057123643735,0.012197057123643735,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Tuesday,312
2020-11-25,BH_Full,13494.0561616361,0.3494056161636099,0.0,0.002481532788806806,0.002481532788806806,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Wednesday,314
2020-11-25,BH_MCap10,18933.12285888407,0.893312285888407,0.0,0.019890618130050886,0.019890618130050886,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Wednesday,314
2020-11-25,BH_QQQ,13380.768448871722,0.33807684488717227,-0.021403236381636437,0.006146455713125221,0.006146455713125221,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Wednesday,314
2020-11-25,ML_Full_CW,18955.00427604066,0.8955004276040661,0.0,0.008419699434666514,0.008419699434666514,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Wednesday,313
2020-11-25,ML_Full_EW,18438.7138717109,0.8438713871710901,0.0,0.009453352667131133,0.009453352667131133,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Wednesday,313
2020-11-27,BH_Full,13631.363102323141,0.3631363102323142,0.0,0.010175364548830723,0.010175364548830723,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Friday,316
2020-11-27,BH_MCap10,19103.84934027958,0.910384934027958,0.0,0.009017343977958614,0.009017343977958614,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Friday,316
2020-11-27,BH_QQQ,13504.063658884297,0.35040636588842977,-0.012386094059132047,0.009214359435609998,0.009214359435609998,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Friday,316
2020-11-27,ML_Full_CW,19223.063716441957,0.9223063716441957,0.0,0.014141882349249789,0.014141882349249789,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Friday,315
2020-11-27,ML_Full_EW,18718.306248268338,0.8718306248268337,0.0,0.015163333977777846,0.015163333977777846,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Friday,315
2020-11-30,BH_Full,13624.612581124662,0.3624612581124662,-0.000495219821217141,-0.000495219821217141,-0.000495219821217141,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Monday,319
2020-11-30,BH_MCap10,18969.581607821725,0.8969581607821724,-0.0070283077544355255,-0.0070283077544355255,-0.0070283077544355255,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Monday,319
2020-11-30,BH_QQQ,13531.611546435577,0.3531611546435578,-0.010371391113989992,0.002039970208016273,0.002039970208016273,0.0,False,,,2020,11,2020-11,Q4,2020-Q4,Monday,319
2020-11-30,ML_Full_CW,19250.69945429899,0.925069945429899,0.0,0.0014376344096178884,0.0014376344096178884,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Monday,318
2020-11-30,ML_Full_EW,18827.317998105726,0.8827317998105726,0.0,0.0058238041621672,0.0058238041621672,0.0,False,2020-11-13,2020-11-13,2020,11,2020-11,Q4,2020-Q4,Monday,318
2020-12-01,BH_Full,13801.203320191142,0.3801203320191142,0.0,0.012961156731247314,0.012961156731247314,0.0,False,,,2020,12,2020-12,Q4,2020-Q4,Tuesday,320
2020-12-01,BH_MCap10,19344.65311573538,0.9344653115735377,0.0,0.019772260436097255,0.019772260436097255,0.0,False,,,2020,12,2020-12,Q4,2020-Q4,Tuesday,320
2020-12-01,BH_QQQ,13705.036304317755,0.3705036304317755,0.0,0.012816267839720785,0.012816267839720785,0.0,False,,,2020,12,2020-12,Q4,2020-Q4,Tuesday,320
2020-12-01,ML_Full_CW,19307.774841709364,0.9307774841709364,0.0,0.0029648474615622256,0.0034465017824179367,-0.0004816543208557111,True,2020-11-30,2020-11-30,2020,12,2020-12,Q4,2020-Q4,Tuesday,319
2020-12-01,ML_Full_EW,18866.962818009146,0.8866962818009145,0.0,0.0021057072445160863,0.002586948980026625,-0.00048124173551053863,True,2020-11-30,2020-11-30,2020,12,2020-12,Q4,2020-Q4,Tuesday,319
2020-12-02,BH_Full,13759.814931063449,0.375981493106345,-0.002998897137262091,-0.002998897137262091,-0.002998897137262091,0.0,False,,,2020,12,2020-12,Q4,2020-Q4,Wednesday,321
