rebalance_date,signal_date,entry_date,holdings,n_holdings,n_sold,n_bought,turnover_est,cost,exposure,regime_scale,defense_scale,vol_scale,dd_scale,estimated_vol,regime_score,breadth_gate,benchmark_trend_gate,anchor_used,skipped_no_hold_dates,strategy,holdings_text,holding_count_from_text,year,month
2022-01-25,2022-01-25,2022-01-26,"['NVDA', 'NFLX', 'TSLA', 'AMD', 'FTNT', 'MELI', 'CDNS', 'DXCM', 'ADBE', 'SNPS']",10,5,5,0.5287346047941057,0.0006344815257529,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['NVDA', 'NFLX', 'TSLA', 'AMD', 'FTNT', 'MELI', 'CDNS', 'DXCM', 'ADBE', 'SNPS']",10,2022,2022-01
2022-02-08,2022-02-08,2022-02-09,"['CDNS', 'META', 'PYPL', 'NVDA', 'MELI', 'SNPS', 'DXCM', 'TSLA', 'FTNT', 'ADBE']",10,2,2,0.3066480032298578,0.0003679776038758,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['CDNS', 'META', 'PYPL', 'NVDA', 'MELI', 'SNPS', 'DXCM', 'TSLA', 'FTNT', 'ADBE']",10,2022,2022-02
2022-02-23,2022-02-23,2022-02-24,"['TSLA', 'NVDA', 'MELI', 'AMD', 'DXCM', 'ADBE', 'KLAC', 'FTNT', 'SNPS', 'CDNS']",10,2,2,0.3542483296148579,0.0004250979955378,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['TSLA', 'NVDA', 'MELI', 'AMD', 'DXCM', 'ADBE', 'KLAC', 'FTNT', 'SNPS', 'CDNS']",10,2022,2022-02
2022-03-09,2022-03-09,2022-03-10,"['NVDA', 'LRCX', 'FTNT', 'MELI', 'AMD', 'KLAC', 'TSLA', 'DXCM', 'SNPS', 'ADBE']",10,1,1,0.0571518439948031,6.858221279376376e-05,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['NVDA', 'LRCX', 'FTNT', 'MELI', 'AMD', 'KLAC', 'TSLA', 'DXCM', 'SNPS', 'ADBE']",10,2022,2022-03
2022-03-23,2022-03-23,2022-03-24,"['IDXX', 'PCAR', 'LRCX', 'KLAC', 'ADI', 'NVDA', 'AMD', 'ADBE', 'FTNT', 'SNPS']",10,3,3,0.649889922604903,0.0007798679071258,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['IDXX', 'PCAR', 'LRCX', 'KLAC', 'ADI', 'NVDA', 'AMD', 'ADBE', 'FTNT', 'SNPS']",10,2022,2022-03
2022-04-06,2022-04-06,2022-04-07,"['ODFL', 'AMD', 'AMAT', 'GOOGL', 'MCHP', 'MSFT', 'LRCX', 'IDXX', 'PCAR', 'KLAC']",10,5,5,0.5499685517889393,0.0006599622621467,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['ODFL', 'AMD', 'AMAT', 'GOOGL', 'MCHP', 'MSFT', 'LRCX', 'IDXX', 'PCAR', 'KLAC']",10,2022,2022-04
2022-04-21,2022-04-21,2022-04-22,"['PYPL', 'META', 'JD', 'AMD', 'MELI', 'NVDA', 'CRM', 'LRCX', 'NFLX', 'KLAC']",10,7,7,0.7999842721845905,0.0009599811266215,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['PYPL', 'META', 'JD', 'AMD', 'MELI', 'NVDA', 'CRM', 'LRCX', 'NFLX', 'KLAC']",10,2022,2022-04
2022-05-05,2022-05-05,2022-05-06,"['MELI', 'NVDA', 'AMZN', 'INTU', 'AMD', 'PYPL', 'CRM', 'CDNS', 'SNPS', 'LRCX']",10,4,4,0.5313976570800366,0.000637677188496,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['MELI', 'NVDA', 'AMZN', 'INTU', 'AMD', 'PYPL', 'CRM', 'CDNS', 'SNPS', 'LRCX']",10,2022,2022-05
2022-05-19,2022-05-19,2022-05-20,"['NVDA', 'MELI', 'TSLA', 'INTU', 'AMD', 'LULU', 'AMZN', 'LRCX', 'CRM', 'CDNS']",10,2,2,0.4070889360311812,0.0004885067232374,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['NVDA', 'MELI', 'TSLA', 'INTU', 'AMD', 'LULU', 'AMZN', 'LRCX', 'CRM', 'CDNS']",10,2022,2022-05
2022-06-03,2022-06-03,2022-06-06,"['NVDA', 'MELI', 'TSLA', 'JD', 'INTU', 'CDNS', 'AMZN', 'LULU', 'LRCX', 'AMD']",10,1,1,0.1833333333333333,0.00022,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False,ML_Full_EW,"['NVDA', 'MELI', 'TSLA', 'JD', 'INTU', 'CDNS', 'AMZN', 'LULU', 'LRCX', 'AMD']",10,2022,2022-06
