rebalance_date,signal_date,entry_date,holdings,n_holdings,n_sold,n_bought,turnover_est,cost,exposure,regime_scale,defense_scale,vol_scale,dd_scale,estimated_vol,regime_score,breadth_gate,benchmark_trend_gate,anchor_used,skipped_no_hold_dates
2022-02-23,2022-02-23,2022-02-24,"['TSLA', 'NVDA', 'MELI', 'AMD', 'DXCM', 'ADBE', 'KLAC', 'FTNT', 'SNPS', 'CDNS']",10,2,2,0.35424832961485797,0.0004250979955378295,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-03-09,2022-03-09,2022-03-10,"['NVDA', 'LRCX', 'FTNT', 'MELI', 'AMD', 'KLAC', 'TSLA', 'DXCM', 'SNPS', 'ADBE']",10,1,1,0.057151843994803136,6.858221279376376e-05,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-03-23,2022-03-23,2022-03-24,"['IDXX', 'PCAR', 'LRCX', 'KLAC', 'ADI', 'NVDA', 'AMD', 'ADBE', 'FTNT', 'SNPS']",10,3,3,0.649889922604903,0.0007798679071258835,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-04-06,2022-04-06,2022-04-07,"['ODFL', 'AMD', 'AMAT', 'GOOGL', 'MCHP', 'MSFT', 'LRCX', 'IDXX', 'PCAR', 'KLAC']",10,5,5,0.5499685517889393,0.0006599622621467271,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-04-21,2022-04-21,2022-04-22,"['PYPL', 'META', 'JD', 'AMD', 'MELI', 'NVDA', 'CRM', 'LRCX', 'NFLX', 'KLAC']",10,7,7,0.7999842721845905,0.0009599811266215085,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-05-05,2022-05-05,2022-05-06,"['MELI', 'NVDA', 'AMZN', 'INTU', 'AMD', 'PYPL', 'CRM', 'CDNS', 'SNPS', 'LRCX']",10,4,4,0.5313976570800366,0.0006376771884960439,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-05-19,2022-05-19,2022-05-20,"['NVDA', 'MELI', 'TSLA', 'INTU', 'AMD', 'LULU', 'AMZN', 'LRCX', 'CRM', 'CDNS']",10,2,2,0.4070889360311812,0.0004885067232374174,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-06-03,2022-06-03,2022-06-06,"['NVDA', 'MELI', 'TSLA', 'JD', 'INTU', 'CDNS', 'AMZN', 'LULU', 'LRCX', 'AMD']",10,1,1,0.18333333333333335,0.00022,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-06-17,2022-06-17,2022-06-21,"['MELI', 'NVDA', 'AMD', 'TSLA', 'WBD', 'MU', 'AMAT', 'META', 'ILMN', 'LRCX']",10,5,5,0.5599924504111263,0.0006719909404933515,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-07-05,2022-07-05,2022-07-06,"['NVDA', 'AMD', 'MELI', 'NFLX', 'TSLA', 'WBD', 'AMAT', 'LRCX', 'META', 'ILMN']",10,1,1,0.1799899338815018,0.00021598792065780214,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-07-19,2022-07-19,2022-07-20,"['ODFL', 'CDNS', 'DXCM', 'FAST', 'EA', 'PCAR', 'GOOGL', 'TSLA', 'CRM', 'META']",10,8,8,0.8,0.0009599999999999999,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-08-02,2022-08-02,2022-08-03,"['CHTR', 'CMCSA', 'SNPS', 'SBUX', 'PCAR', 'TMUS', 'EA', 'AMGN', 'CDNS', 'GOOGL']",10,6,6,0.6399949669407509,0.0007679939603289009,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-08-16,2022-08-16,2022-08-17,"['BIIB', 'TMUS', 'GOOGL', 'VRTX', 'INTU', 'SNPS', 'CHTR', 'AMGN', 'SBUX', 'CDNS']",10,3,3,0.3599924504111264,0.0004319909404933516,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-08-30,2022-08-30,2022-08-31,"['NVDA', 'NFLX', 'TSLA', 'GOOGL', 'AMZN', 'CRM', 'CDNS', 'DXCM', 'AMAT', 'INTU']",10,7,7,0.739994966940751,0.000887993960328901,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-09-14,2022-09-14,2022-09-15,"['NVDA', 'AMD', 'AMZN', 'MELI', 'NFLX', 'META', 'AMAT', 'MU', 'GOOGL', 'INTU']",10,4,4,0.4,0.00047999999999999996,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-09-28,2022-09-28,2022-09-29,"['AMD', 'NVDA', 'AMZN', 'MELI', 'LRCX', 'META', 'AMAT', 'GOOGL', 'INTU', 'NFLX']",10,1,1,0.08000251652962455,9.600301983554944e-05,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-10-12,2022-10-12,2022-10-13,"['AMD', 'NVDA', 'LRCX', 'AMAT', 'MELI', 'PYPL', 'META', 'AMZN', 'INTU', 'NFLX']",10,1,1,0.11999748347037545,0.00014399698016445052,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-10-26,2022-10-26,2022-10-27,"['AMD', 'NVDA', 'AMZN', 'TSLA', 'AAPL', 'MCHP', 'MSFT', 'IDXX', 'MELI', 'INTU']",10,5,5,0.5565677825163856,0.0006678813390196627,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-11-09,2022-11-09,2022-11-10,"['TSLA', 'WBD', 'AMD', 'AMZN', 'QCOM', 'NVDA', 'AAPL', 'INTU', 'MSFT', 'MELI']",10,2,2,0.25406341467616705,0.00030487609761140045,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-11-23,2022-11-23,2022-11-25,"['MSFT', 'IDXX', 'AAPL', 'FTNT', 'QCOM', 'AMZN', 'TSLA', 'INTU', 'AMD', 'NVDA']",10,2,2,0.3858392686406965,0.00046300712236883575,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-12-08,2022-12-08,2022-12-09,"['AAPL', 'AMZN', 'TSLA', 'IDXX', 'ODFL', 'AMD', 'META', 'INTC', 'EBAY', 'MSFT']",10,4,4,0.5285444680155906,0.0006342533616187087,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2022-12-22,2022-12-22,2022-12-23,"['AMD', 'NVDA', 'AMZN', 'TSLA', 'AAPL', 'META', 'EBAY', 'INTC', 'MSFT', 'IDXX']",10,1,1,0.1799899338815018,0.00021598792065780214,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2023-01-24,2023-01-24,2023-01-25,"['AMAT', 'KLAC', 'EBAY', 'LRCX', 'CTAS', 'ROST', 'KHC', 'ODFL', 'XEL', 'NVDA']",10,8,8,0.8199974834703755,0.0009839969801644505,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2023-02-07,2023-02-07,2023-02-08,"['KHC', 'EA', 'AMGN', 'KDP', 'AZN', 'GILD', 'XEL', 'MNST', 'CTAS', 'ROST']",10,6,6,0.6000000000000001,0.00072,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2023-02-22,2023-02-22,2023-02-23,"['JD', 'PAYX', 'IDXX', 'NFLX', 'KLAC', 'CTAS', 'MNST', 'ROST', 'XEL', 'KHC']",10,5,5,0.5,0.0006,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2023-03-08,2023-03-08,2023-03-09,"['IDXX', 'WBD', 'ILMN', 'GOOGL', 'MELI', 'META', 'PAYX', 'NFLX', 'KLAC', 'JD']",10,5,5,0.5,0.0006,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
